#,Nodes,,,,,,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,…]]],,
N,Partido Revolucionario Venezolano «PRV»,#CB1D11,,1926,,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Comunista de Venezuela «PCV»,1931.3.5,https://es.wikipedia.org/wiki/Partido_Comunista_de_Venezuela,Partido Comunista de Venezuela «PCV»,1945.5.5,https://es.wikipedia.org/wiki/Partido_Comunista_de_Venezuela,Unión para Avanzar «UPA»,1967.10.20,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Comunista de Venezuela «PCV»,1970.5.10,https://es.wikipedia.org/wiki/Partido_Comunista_de_Venezuela
N,Partido de Liberación Nacional,#2F8097,,1929,1929.8.23,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación Revolucionaria de Izquierda «ARDI»,#e11d40,,1931,1936.3.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento de Organización Venezolana «ORVE»,#837052,Agrupación Revolucionaria de Izquierda «ARDI»,1936.3.1,1937.2.3,,https://es.wikipedia.org/wiki/Alberto_Adriani,,,,,,,,,,,,
N,Partido Democrático Nacional «PDN»,#CB9517,Movimiento de Organización Venezolana «ORVE»,1936.10.28,1941.9.13,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partidarios de la Política del Gobierno «PPG»,#290a2e,Agrupación Cívica Bolivariana,1943.5.26,1945.10.31,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Democrático Venezolano «PDV»,1943.9.18,https://es.wikipedia.org/wiki/Partido_Democr%C3%A1tico_Venezolano,,,,,,,,,
N,Acción Democrática «AD»,#0066FF,Partido Democrático Nacional «PDN»,1941.9.13,,,https://es.wikipedia.org/wiki/Acci%C3%B3n_Democr%C3%A1tica,,,,,,,,,,,,
N,Unión Republicana Democrática «URD»,#FEED00,,1945.12.18,,,https://es.wikipedia.org/wiki/Uni%C3%B3n_Republicana_Democr%C3%A1tica,,,,,,,,,,,,
N,Comité de Organización Política Electoral Independiente «COPEI»,#8DC73C,Acción Nacional,1946.1.13,,,https://es.wikipedia.org/wiki/Copei,,,,,,,,,,,,
N,Frente Electoral Independiente «FEI»,#000081,,1951.6.20,1958.1.23,,https://es.wikipedia.org/wiki/Frente_Electoral_Independiente,,,,,,,,,,,,
N,Integración Republicana «IR»,#383C4A,Unión Republicana Democrática «URD»,1958.3.1,1963.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Electoral Nacional Independiente «MENI»,#c02c2e,,1958.9.11,1973.3.31,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento de Izquierda Revolucionaria «MIR»,#273133,Acción Democrática «AD»,1960.7.8,1988.12.4,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
